"logNu[1]","logNu[2]","logNu[3]","tauCopy","x[1]","x[2]","x[3]"
-3.17035124809684,2.27122558921004,1.65608646892691,0.061847487323049,18,23,20
-3.15704933621128,2.26999434297461,1.65503217440692,0.228712621429862,18,23,20
-3.11846379578625,2.27023831325082,1.65686804912783,0.113072689274616,18,23,20
-3.12955092915764,2.27223793234139,1.65417682105151,0.537768661274697,18,23,20
-3.17277737808095,2.27197167646188,1.65807564964935,0.0170177037620555,18,23,20
-3.15239486599817,2.26883185715582,1.65103014084988,0.051938921027109,18,23,20
-3.16913705691467,2.26432088238868,1.65129035788604,0.212596123151013,18,23,20
-3.1875471647402,2.26096438516103,1.64820533361957,0.0648138349152272,18,23,20
-3.18371410716616,2.25983867198306,1.64951517067652,0.0628301404735249,18,23,20
-3.16634006941938,2.26504077483091,1.65176045564203,0.168043698523024,18,23,20
-3.16999297368845,2.26288968755874,1.64893743611927,0.200676182583016,18,23,20
-3.18691350345389,2.26059433826776,1.64547256014207,0.212250577976136,18,23,20
-3.15169986082013,2.2573969385061,1.64477774644903,0.0325226384234449,18,23,20
-3.17364030071554,2.26264853663646,1.64743351912841,0.142383187868115,18,23,20
-3.18290114399679,2.26494669099894,1.64919042683498,0.0732582135236293,18,23,20
-3.15541858721647,2.26026501096714,1.6469269878999,0.104633785105093,18,23,20
-3.16899894390497,2.27399579565255,1.65803589784398,0.0578393868196566,18,23,20
-3.14892895055039,2.27338967904676,1.65961318979639,0.1191340024638,18,23,20
-3.16490351306553,2.26893370487439,1.65259600499343,0.0378714986261428,18,23,20
-3.16161236849789,2.26733749143719,1.65168321007445,0.0712004961958481,18,23,20
-3.17502412976054,2.26650708096914,1.65651111222339,0.456561935859607,18,23,20
-3.13041922600705,2.26249205537714,1.64767169154006,0.284135684994923,18,23,20
-3.17908994808602,2.26240777251179,1.64919043975247,0.375690930435121,18,23,20
-3.21708555962494,2.25785385697866,1.64385811438129,0.0909894136828183,18,23,20
-3.20831052143806,2.25870350932634,1.64235333118138,0.0817142342219833,18,23,20
-3.19890652484431,2.25516530798717,1.63638102841048,0.100464654298025,18,23,20
-3.18102704053122,2.24932664143666,1.63773224345079,0.299787770640994,18,23,20
-3.19278638653283,2.25043190921625,1.63568737653218,0.0537645137018422,18,23,20
-3.18221734334319,2.25288508387279,1.6399530720725,0.219007810203896,18,23,20
-3.17974511869573,2.25253189447571,1.63845481736551,0.055013876981425,18,23,20
-3.14527532579369,2.24857696073769,1.63376172179997,0.0472673688585968,18,23,20
-3.17778579918424,2.24802484971639,1.63436286628645,0.325193236580583,18,23,20
-3.13491181525557,2.25188920487386,1.63814278332882,0.219539721346825,18,23,20
-3.17708324542641,2.24710185106239,1.6328499210069,0.183093810065808,18,23,20
-3.16488871041393,2.24911464049318,1.63533968933802,0.139014873669525,18,23,20
-3.18718877657525,2.24878193435465,1.63487068920163,0.202605368057268,18,23,20
-3.19853300715278,2.25151165780777,1.6357902027637,0.207004922542213,18,23,20
-3.17450469182078,2.24720840800755,1.6318799032773,0.0978768885289005,18,23,20
-3.19507655372738,2.23889472977716,1.62391680870014,0.252252969871348,18,23,20
-3.20874440391342,2.23371763829942,1.62259903660845,0.263571624080573,18,23,20
-3.19952872102826,2.24253621510574,1.62921788368358,0.270889422039607,18,23,20
-3.16254216184882,2.24517573821512,1.63414853510263,0.2331486892586,18,23,20
-3.17119663988842,2.25159472746615,1.63793921751346,0.209953625164115,18,23,20
-3.18913910217208,2.25342673653976,1.63977119972145,0.163445141410086,18,23,20
-3.1882871114605,2.25858605027323,1.6413803349135,0.257361093993075,18,23,20
-3.1647704352721,2.25734499304655,1.64249775570779,0.122302684431145,18,23,20
-3.1528327750921,2.25033437196687,1.63726782039008,0.425478269003051,18,23,20
-3.20086448819997,2.25077928880019,1.63317227240468,0.114634003539807,18,23,20
-3.20150712343198,2.24426446795891,1.62860140024271,0.161799587700593,18,23,20
-3.19268585608615,2.24285472227585,1.62697258640784,0.182137660767724,18,23,20
-3.18395106474263,2.24641137841062,1.63448086463613,0.326138410641275,18,23,20
-3.21253920626217,2.24442415579806,1.62920965667757,0.0296704107928184,18,23,20
-3.18884378109458,2.24581408642719,1.636143979733,0.407637894810543,18,23,20
-3.22185600469786,2.24406892399239,1.63161876839887,0.117751448683459,18,23,20
-3.20508828506961,2.23781649366927,1.62536223780638,0.354280577011321,18,23,20
-3.18018766023016,2.24167468309466,1.62436375900949,0.0456222217178274,18,23,20
-3.19630317264196,2.2361961137435,1.62142314399341,0.185441409967686,18,23,20
-3.2252033258658,2.2389710883833,1.62373270583289,0.356634719240782,18,23,20
-3.14674549249508,2.2371134345088,1.62173491573493,0.244916606706198,18,23,20
-3.21323002214453,2.23644820426529,1.62224576258406,0.0495923759033728,18,23,20
-3.19602308725218,2.23719674947905,1.62080514058501,0.262658318142661,18,23,20
-3.2188792404451,2.23434891035738,1.6212643357921,0.343026351123324,18,23,20
-3.21275153258421,2.2350467631668,1.62000698010288,0.00222190955877304,18,23,20
-3.19427450284881,2.2355290598539,1.62215500590763,0.366702633120048,18,23,20
-3.22083108979859,2.23671758654661,1.62240110834109,0.0206896816771986,18,23,20
-3.17200809459341,2.23125127749974,1.61711846839739,0.065462823090908,18,23,20
-3.20311872835966,2.23158419778536,1.61577956145764,0.0510515412257825,18,23,20
-3.209596226131,2.22289482666617,1.60602342150389,0.220253611938152,18,23,20
-3.19240947182372,2.22541062746196,1.60970183787262,0.150176720846267,18,23,20
-3.21061978306316,2.22518416069212,1.61089970651583,0.0345770549772764,18,23,20
-3.24062747485545,2.22043322835971,1.60734548530328,0.30135449996396,18,23,20
-3.21672931253735,2.22086482132948,1.60722995224403,0.0864855972068965,18,23,20
-3.22748375849174,2.2164916218908,1.60165664396144,0.27004321666704,18,23,20
-3.24866917001751,2.20981523979139,1.59500783679176,0.0189823507497337,18,23,20
-3.22995279857541,2.20268765188728,1.58784183464531,0.356947525209677,18,23,20
-3.20681621727211,2.20361643963508,1.58641893385056,0.00423210918761878,18,23,20
-3.23326295083083,2.201264057002,1.58510617025533,0.0582021838289506,18,23,20
-3.26843424462698,2.19111525190407,1.57778651565668,0.215692068365246,18,23,20
-3.22677284040284,2.1921719552075,1.57965211053405,0.112219092345384,18,23,20
-3.24448115349186,2.19704399735491,1.58055450880397,0.15655881377355,18,23,20
-3.22744418452405,2.20548269096436,1.58964774049016,0.226056827443378,18,23,20
-3.23388225877122,2.20258758428347,1.58919701617749,0.0937251102967037,18,23,20
-3.25754448662383,2.20382896750759,1.58770726466025,0.559625732149515,18,23,20
-3.201032759366,2.20406401141093,1.59161500361546,0.297094626879762,18,23,20
-3.23573718795165,2.20371999989983,1.59249395380586,0.10024307675971,18,23,20
-3.23683429948326,2.20935560545506,1.59572712293155,0.582199768184736,18,23,20
-3.21762333548164,2.20987580703472,1.59609655729936,0.0129839225698709,18,23,20
-3.22304241587277,2.20904531330731,1.59093795477238,0.31233265391317,18,23,20
-3.2350188903985,2.20229674434085,1.58656937252979,0.0794622798619392,18,23,20
-3.21750083343284,2.20174544057124,1.58962117964034,0.165039725309122,18,23,20
-3.22177160283976,2.20032950372217,1.58666569944117,0.264568211657115,18,23,20
-3.24267045680368,2.20194682846012,1.58642257752043,0.0273753447612373,18,23,20
